年份,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,卡尔玛比率,总交易次数,胜率,盈亏比,params
2019,0.07514733580998634,0.07737543312681283,0.0628391234694712,1.23132578646492,0.04384075815409244,2019-04-19,2019-05-23,1.7649200512192784,245.0,0.5102040816326531,1.2400771783739168,ma20
2020,0.06902489761711883,0.07167091213931687,0.09324508140444975,0.7686294125096518,0.0655478332299706,2020-01-02,2020-03-23,1.0934139026055036,243.0,0.5102880658436214,1.1509752783661364,ma20
2021,-0.0593550446506661,-0.061484394216140936,0.0985070952376203,-0.624162087693555,0.12857539496061118,2021-02-10,2021-08-20,-0.4781972027772231,243.0,0.49794238683127573,0.8955903620491408,ma20
2022,-0.07004990753185125,-0.07283651044383554,0.05623971684663148,-1.2951080575754736,0.08977673735612357,2022-01-04,2022-10-31,-0.8113071669658694,242.0,0.44214876033057854,0.7881207117743654,ma20
2023,-0.0012926586014442298,-0.006248868924971784,0.03493572961437754,-0.17886756606909704,0.019458802858748545,2023-01-30,2023-03-20,-0.3211332665391764,52.0,0.5,0.9715070278001979,ma20
样本内,0.7912243631090192,0.05221520368868715,0.10929661912099002,0.47773850745452207,0.3903869776823017,2007-10-16,2015-08-25,0.13375242176028748,2886.0,0.49653499653499655,1.0960870517909411,ma20
样本外,-0.008351829878356143,-0.0013959178983139475,0.07147126752965256,-0.01953117590554551,0.19279888534312611,2021-02-10,2022-10-31,-0.0072402799208595965,1513.0,0.4963648380700595,0.9965921058178173,ma20
总体,0.7795132466636445,0.03356713803044187,0.09795370561245939,0.3426836975749107,0.3903869776823017,2007-10-16,2015-08-25,0.08598426676455105,4399.0,0.49670379631734485,1.0617079881234148,ma20
2005,-0.011027976297828923,-0.013033970988890142,0.0388936325973132,-0.3351183759007004,0.04168986607081451,2005-02-25,2005-06-03,-0.31264122956765095,213.0,0.431924882629108,0.9390786883621249,ma5diff
2006,0.16532033764455845,0.17348650664331555,0.0449928257555671,3.855870435562708,0.028397018733888654,2006-07-03,2006-08-07,6.1093211322313525,241.0,0.5767634854771784,1.8783242646201153,ma5diff
2007,0.20624819119986815,0.21563116911837588,0.07601560727873412,2.83666968978751,0.04124102129851528,2007-10-16,2007-11-28,5.228560358812909,242.0,0.5909090909090909,1.5275059392014068,ma5diff
2008,-0.18603596747572404,-0.1901122052399149,0.10858286283547808,-1.750849077611519,0.2097463562401196,2008-01-14,2008-10-27,-0.9063909793134745,246.0,0.42276422764227645,0.7136920827649237,ma5diff
2009,0.13532814675929417,0.14006250890427374,0.07020292553729525,1.9951092897099516,0.06771364262948053,2009-08-03,2009-08-31,2.0684533199709247,244.0,0.569672131147541,1.3726830804272623,ma5diff
2010,-0.04576717092056393,-0.04761263615426048,0.05263915903101624,-0.904509817989417,0.0603040899148239,2010-01-05,2010-07-05,-0.7895424045286252,242.0,0.45867768595041325,0.85299312992669,ma5diff
2011,-0.034831600548200004,-0.035952844236000425,0.04196279190451477,-0.8567791275139695,0.05603594064489445,2011-04-13,2011-12-27,-0.6416032964242953,244.0,0.45491803278688525,0.8617256310483601,ma5diff
2012,0.033170892227201154,0.034420353139899884,0.039555046853936605,0.8701886580239077,0.040342863971015955,2012-05-04,2012-12-03,0.8531955779001943,243.0,0.48148148148148145,1.165329809384766,ma5diff
2013,-0.029990525543796442,-0.03172639667912869,0.051234654548948856,-0.6192370566062418,0.05992619090645653,2013-02-06,2013-06-26,-0.5294245504215828,238.0,0.453781512605042,0.8897714724501843,ma5diff
